"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2021","AUTOMOVIL","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2017","MOTOCICLETA","10","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2014","MOTOCICLETA","11","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2011","MOTOCICLETA","15","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2025","CAMIONETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2021","MOTOCICLETA","6","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2022","CAMIONETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2013","MOTOCICLETA","13","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"SIGMA","2018","MOTOCICLETA","8","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","1994","AUTOMOVIL","31","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2014","AUTOMOVIL","12","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2015","MOTOCICLETA","11","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2023","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"TOYOTA","2019","CAMPERO","7","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2014","MOTOCICLETA","12","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"INTERNATIONAL","2014","CAMION","12","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2022","MOTOCICLETA","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2019","MOTOCICLETA","7","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"TOYOTA","2023","AUTOMOVIL","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"ROYAL ENFIELD","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"AKT","2022","MOTOCICLETA","5","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"AKT","2012","MOTOCICLETA","15","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"TOYOTA","2008","CAMPERO","18","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"AKT","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","BOYACA","TUNJA","STRIA DE TTOyTTE TUNJA"
"AKT","2024","MOTOCICLETA","2","12/2025","CON MUERTOS","CORDOBA","CHINU","STRIA DPTAL TTOyTTE CORDOBA/CHINU"
"AKT","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"TOYOTA","2014","CAMIONETA","12","12/2025","CON MUERTOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2019","MOTOCICLETA","8","12/2025","CON MUERTOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2023","MOTOCICLETA","3","12/2025","CON MUERTOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","CALDAS","LA DORADA","INPS TTOYTTE LA DORADA"
"AKT","2019","MOTOCICLETA","8","12/2025","CON HERIDOS","CALDAS","LA DORADA","INPS TTOYTTE LA DORADA"
"AKT","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","CALDAS","LA DORADA","INPS TTOYTTE LA DORADA"
"BAJAJ","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","CALDAS","LA DORADA","INPS TTOYTTE LA DORADA"
"AKT","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2018","MOTOCICLETA","8","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"RENAULT","2011","AUTOMOVIL","15","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"YAMAHA","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"RENAULT","2016","AUTOMOVIL","10","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"TOYOTA","2022","CAMIONETA","4","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"AKT","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"YAMAHA","2010","MOTOCICLETA","16","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"RENAULT","2023","CAMIONETA","3","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2019","MOTOCICLETA","8","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"AKT","2019","MOTOCICLETA","7","12/2025","CON MUERTOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"BAJAJ","2023","MOTOCICLETA","4","12/2025","CON MUERTOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"RENAULT","2015","AUTOMOVIL","12","12/2025","CON MUERTOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"BAJAJ","2010","MOTOCICLETA","17","12/2025","CON HERIDOS","ANTIOQUIA","APARTADO","STRIA MCPAL TTEyTTO APARTADO"
"YAMAHA","2016","MOTOCICLETA","11","12/2025","CON HERIDOS","ANTIOQUIA","APARTADO","STRIA MCPAL TTEyTTO APARTADO"
"YAMAHA","2021","MOTOCICLETA","5","12/2025","CON HERIDOS","ANTIOQUIA","APARTADO","STRIA MCPAL TTEyTTO APARTADO"
"YAMAHA","2014","MOTOCICLETA","12","12/2025","CON HERIDOS","ANTIOQUIA","APARTADO","STRIA MCPAL TTEyTTO APARTADO"
"BAJAJ","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"BAJAJ","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","CORDOBA","MONTERIA","STRIA MCPAL TTEyTTO MONTERIA"
"YAMAHA","2018","MOTOCICLETA","8","12/2025","CON MUERTOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2011","MOTOCICLETA","15","12/2025","CON HERIDOS","TOLIMA","MELGAR","STRIA GOB TTOyTTE MELGAR"
"YAMAHA","2018","MOTOCICLETA","8","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"CHANGAN","2022","CAMIONETA","4","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"BAJAJ","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"BAJAJ","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"AKT","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"RENAULT","2021","AUTOMOVIL","5","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"SKODA","1996","AUTOMOVIL","30","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"BAJAJ","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"RENAULT","2015","AUTOMOVIL","11","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"YAMAHA","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"AKT","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","CUNDINAMARCA","SOACHA","STRIA MCPAL DE SOACHA"
"AKT","2022","MOTOCICLETA","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2021","AUTOMOVIL","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"INTERNATIONAL","2012","TRACTOCAMION","14","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"TOYOTA","2022","CAMPERO","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2021","MOTOCICLETA","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"SIGMA","2019","AUTOMOVIL","7","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2013","MOTOCICLETA","13","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2011","AUTOMOVIL","14","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2021","MOTOCICLETA","5","12/2025","CON MUERTOS","VALLE DEL CAUCA","BUENAVENTURA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"FREIGHTLINER","2012","TRACTOCAMION","13","12/2025","CON MUERTOS","VALLE DEL CAUCA","BUENAVENTURA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"FREIGHTLINER","2012","TRACTOCAMION","14","12/2025","CON MUERTOS","VALLE DEL CAUCA","BUENAVENTURA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2021","MOTOCICLETA","5","12/2025","CON HERIDOS","VALLE DEL CAUCA","BUGALAGRANDE","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2021","MOTOCICLETA","5","12/2025","CON HERIDOS","VALLE DEL CAUCA","YOTOCO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2020","MOTOCICLETA","6","12/2025","CON MUERTOS","VALLE DEL CAUCA","CALI","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","NORTE DE SANTANDER","CUCUTA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2022","MOTOCICLETA","4","12/2025","CON HERIDOS","VALLE DEL CAUCA","BOLIVAR","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2011","MOTOCICLETA","15","12/2025","CON HERIDOS","VALLE DEL CAUCA","BOLIVAR","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2017","MOTOCICLETA","5","12/2025","CON HERIDOS","ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA","PROVIDENCIA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"POLARIS","2017","AUTOMOVIL","3","12/2025","CON HERIDOS","ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA","PROVIDENCIA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"RENAULT","2026","CAMPERO","1","12/2025","CON HERIDOS","ANTIOQUIA","LA CEJA - SAN JOSÉ","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","ANTIOQUIA","LA CEJA - SAN JOSÉ","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARANOA","INSTITUTO DE TRÁNSITO DEL ATLANTICO/BARANOA"
"AKT","2021","MOTOCICLETA","5","12/2025","CON HERIDOS","ATLANTICO","BARANOA","INSTITUTO DE TRÁNSITO DEL ATLANTICO/BARANOA"
"BAJAJ","2016","MOTOCICLETA","10","12/2025","CON HERIDOS","ATLANTICO","BARANOA","INSTITUTO DE TRÁNSITO DEL ATLANTICO/BARANOA"
"BAJAJ","2013","MOTOCICLETA","13","12/2025","CON HERIDOS","ATLANTICO","BARANOA","INSTITUTO DE TRÁNSITO DEL ATLANTICO/BARANOA"
"AUTECO","2006","MOTOCICLETA","20","12/2025","CON HERIDOS","ATLANTICO","BARANOA","INSTITUTO DE TRÁNSITO DEL ATLANTICO/BARANOA"
"BAJAJ","2014","MOTOCICLETA","12","12/2025","CON HERIDOS","ANTIOQUIA","RIONEGRO","SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO"
"BAJAJ","2020","MOTOCICLETA","6","12/2025","CON HERIDOS","ANTIOQUIA","RIONEGRO","SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO"
"KTM","2021","MOTOCICLETA","4","12/2025","CON HERIDOS","ANTIOQUIA","RIONEGRO","SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO"
"AKT","2017","MOTOCICLETA","9","12/2025","CON HERIDOS","ANTIOQUIA","RIONEGRO","SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO"
"YAMAHA","2019","MOTOCICLETA","7","12/2025","CON HERIDOS","ANTIOQUIA","RIONEGRO","SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO"
"BAJAJ","2020","MOTOCICLETA","6","12/2025","CON HERIDOS","ANTIOQUIA","RIONEGRO","SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO"
"YAMAHA","2016","MOTOCICLETA","10","12/2025","CON HERIDOS","ANTIOQUIA","CALDAS","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"RENAULT","2019","CAMPERO","8","12/2025","CON HERIDOS","ANTIOQUIA","CALDAS","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2017","MOTOCICLETA","9","12/2025","CON HERIDOS","ANTIOQUIA","CALDAS","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2025","MOTOCICLETA","2","12/2025","CON HERIDOS","ANTIOQUIA","CALDAS","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","ANTIOQUIA","CALDAS","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","LA GUAJIRA","RIOHACHA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"TOYOTA","2007","AUTOMOVIL","19","12/2025","CON HERIDOS","LA GUAJIRA","RIOHACHA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"TOYOTA","2019","CAMPERO","8","12/2025","CON MUERTOS","LA GUAJIRA","RIOHACHA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","TOLIMA","ESPINAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2017","MOTOCICLETA","9","12/2025","CON HERIDOS","TOLIMA","FRESNO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AUDI","2015","CAMIONETA","11","12/2025","CON HERIDOS","TOLIMA","FRESNO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2016","MOTOCICLETA","11","12/2025","CON HERIDOS","TOLIMA","FRESNO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2009","MOTOCICLETA","17","12/2025","CON HERIDOS","TOLIMA","FRESNO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","TOLIMA","FRESNO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"BAJAJ","2008","MOTOCICLETA","19","12/2025","CON HERIDOS","TOLIMA","FRESNO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"TOYOTA","2009","CAMIONETA","16","12/2025","CON HERIDOS","VALLE DEL CAUCA","PRADERA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2025","MOTOCICLETA","1","12/2025","CON MUERTOS","VALLE DEL CAUCA","PRADERA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","MAGDALENA","EL BANCO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2021","MOTOCICLETA","5","12/2025","CON HERIDOS","NORTE DE SANTANDER","PAMPLONA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"TOYOTA","1994","CAMIONETA","32","12/2025","CON HERIDOS","LA GUAJIRA","MAICAO","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"YAMAHA","2016","MOTOCICLETA","11","12/2025","CON HERIDOS","RISARALDA","SANTA ROSA DE CABAL","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"AKT","2025","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"CHANGAN","2024","CAMIONETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2016","MOTOCICLETA","10","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2018","MOTOCICLETA","8","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2012","MOTOCICLETA","14","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2021","AUTOMOVIL","5","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2016","MOTOCICLETA","10","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2024","CAMIONETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","2","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","0","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AUDI","2022","CAMIONETA","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2023","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2020","CAMIONETA","6","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"AKT","2025","MOTOCICLETA","2","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2026","MOTOCICLETA","1","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"YAMAHA","2011","MOTOCICLETA","15","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"BAJAJ","2024","MOTOCICLETA","3","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
"RENAULT","2023","AUTOMOVIL","4","12/2025","CON HERIDOS","ATLANTICO","BARRANQUILLA","STRIA DTAL TTO BARRANQUILLA"
