"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"VICTORY","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2019","AUTOMOVIL","7","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KIA","2018","AUTOMOVIL","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2014","AUTOMOVIL","12","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2019","AUTOMOVIL","7","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2024","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2009","AUTOMOVIL","17","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KIA","2018","AUTOMOVIL","7","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2007","AUTOMOVIL","19","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2020","AUTOMOVIL","6","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2021","MOTOCICLETA","5","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2015","AUTOMOVIL","11","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"FORD","2015","AUTOMOVIL","11","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2021","MOTOCICLETA","5","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HERO","2016","MOTOCICLETA","10","12/2023","CON HERIDOS","VALLE DEL CAUCA","CARTAGO","STRIA DE TTOyTTE CARTAGO"
"SUZUKI","2019","MOTOCICLETA","7","12/2023","CON HERIDOS","VALLE DEL CAUCA","CARTAGO","STRIA DE TTOyTTE CARTAGO"
"HERO","2021","MOTOCICLETA","5","12/2023","CON HERIDOS","TOLIMA","MARIQUITA","STRIA DE TTOyTTE MCPAL DE SAN SEBASTIAN DE MARIQUITA TOLIMA"
"KENWORTH","2011","TRACTOCAMION","15","12/2023","CON HERIDOS","TOLIMA","MARIQUITA","STRIA DE TTOyTTE MCPAL DE SAN SEBASTIAN DE MARIQUITA TOLIMA"
"HYUNDAI","2013","AUTOMOVIL","13","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"PEUGEOT","2024","CAMIONETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KIA","2008","AUTOMOVIL","18","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2022","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2022","MOTOCICLETA","5","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"KIA","2012","AUTOMOVIL","14","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2023","MOTOCICLETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2006","CAMION","20","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"PEUGEOT","2023","CAMIONETA","4","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"VICTORY","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
"HYUNDAI","2019","AUTOMOVIL","8","12/2023","CON HERIDOS","ANTIOQUIA","MEDELLIN","STRIA DE TTOyTTE MEDELLIN"
