cod_departamento,departamento,cod_municipio,municipio,ano,bajo_peso_nacer,controles_prenatales,fecundidad_adolescente,mortalidad_fetal,mortalidad_general,mortalidad_infantil,mortalidad_materna,mortalidad_neonatal,partos_cesarea,partos_institucionales
66,,66001,Pereira,2012,,6.488655822,107.8935315,103.3490068,9.24689913,13.48458904,,8.026541096,32.74828767,99.60474308
68, SANTANDER ,68001,Bucaramanga,2013,10.43733093,6.859675481,114.0053362,44.36468055,8.439203002,15.47475962,30.04807692,10.36658654,57.02373798,99.89222479
8,atlantico,8638,Sabanalarga,2020.0,7.800205269,5.547040712,,6.458191706,6.436845945,13.00034211,34.21142662,8.210742388,59.2541909,99.96525365
20,Cesar,20001,Valledupar,2017.0,9.83065442,6.04096714,126.3061251,13.72771016,5.931313405,17.72133735,107.6194576,,67.91505237,99.8387215
5,antioquia,5615,Rionegro,2006,,6.266160764,130.1921885,54.98007968,7.757384152,,28.10567735,2.529510961,,99.91438356
27,CHOCÓ,27001,Quibdó,2008,8.555486671,4.20498948,108.8743975,21.75830638,5.741576388,32.46167719,120.228434,21.34054704,30.9156845,98.42056364
8,ATLÁNTICO,"86,38",Sabanalarga,2009.0,10.27739882,6.078181818,129.8521257,11.23595506,3.906805721,15.45454545,45.45454545,9.090909091,53.91747798,99.76722533
5,Antioquia,sin dato,Medellín,2005.0,13.66757923,5.348047499,91.65176645,79.4979971,6.305277865,17.01349506,83.33140437,12.40712021,32.46823024,99.58484444
5,antioquia,"50,01",Medellín,2016,10.73895446,7.589797649,82.26193461,105.5209936,7.578246552,10.10541621,31.50369563,6.373439961,,99.79182672
44,La Guajira,44001,Riohacha,2006.0,9.75493695,4.61392833,82.6368575,15.31291611,3.118120752,30.8767185,135.2265044,12.84651792,35.10038349,94.30087679
5,Antioquia,5045,Apartadó,2011,,5.408922849,137.7137714,44.73746174,2.973573159,,98.59502095,2.464875524,31.69587756,99.6007984
76,Valle del Cauca,76109,Buenaventura,2013,7.255166217,5.341627438,,27.8927871,2.850425483,14.12239408,224.1649854,,31.50224215,94.30727023
15,Boyacá,sin dato,Tunja,2008,13.30434783,6.335941575,139.9436469,12.19512195,9.180172288,15.99721788,86.9414015,11.6501478,30.49756437,99.55689472
47,Magdalena,"47,189",Ciénaga,2019,7.023506089,4.749362787,191.4893617,42.31082181,4.137874637,8.779382611,28.32058907,6.513735486,37.58142169,99.33851021
15,  Boyacá  ,15001,Tunja,2009,,6.471756248,146.0825158,13.84199865,8.815325195,14.54981171,85.5871277,10.61280383,33.64758313,99.52739366
13,Bolívar,13001,Cartagena,2017,9.160305344,6.403254319,107.7179465,38.06763285,5.641625085,12.17356368,72.31820008,8.316593009,59.90759341,99.86874487
17,caldas,17001,Manizales,2010.0,8.749096168,6.707475623,74.7993189,16.86490325,8.082576128,17.6959191,72.22824124,12.45937161,25.66371681,99.57720588
5, ANTIOQUIA ,5045,Apartadó,2007.0,6.141701964,5.182063125,181.7740565,108.2889995,3.552207443,11.16243264,76.98229407,7.505773672,32.38297053,99.37377691
76,Valle del Cauca,76109,Buenaventura,2020.0,,4.52603536,58.10916688,42.88363468,4.650014271,15.01574231,96.87575684,9.445386292,31.26665052,95.87932303
44,La Guajira,44650,San Juan Del Cesar,2013.0,12.37569061,5.514917127,418.7344913,10.20780168,9.862908322,14.73296501,,11.04972376,,99.54734063
5,Antioquia,5001,Medellín,2020,,6.821406201,53.5802735,52.4050946,8.664558321,8.821380102,26.0987577,5.715627936,33.25503706,99.77273335
13,Bolívar,13001,Cartagena,2010,,5.770086648,96.06715731,17.55743652,4.431004965,12.94801103,68.92477353,6.74478141,62.50741546,99.74339623
5,Antioquia,"56,15",Rionegro,2012,14.15628539,6.695130238,188.1130987,9.867683337,7.891582604,,22.65005663,5.209513024,41.29105323,99.88420565
76,VALLE DEL CAUCA,76001,Cali,2012,10.76819671,6.504214388,71.88924328,51.97908094,7.00498071,14.56133964,92.40850158,9.408865616,39.99327938,99.69610963
44,La Guajira,44001,Riohacha,2014.0,9.010827675,5.08405212,106.1362826,10.17257039,2.353778034,18.16847128,110.1119471,9.543035419,58.85483575,99.62539801
5,  Antioquia  ,5615,Rionegro,2019.0,,7.349642005,144.9621665,89.95475113,11.8592936,12.92760541,39.77724741,6.364359586,36.83373111,99.89810475
8,Atlántico,8758,Soledad,2018.0,7.866972477,5.558715596,36.26058454,25.04472272,2.099821838,,22.93577982,9.862385321,73.92201835,99.79157017
76,Valle del Cauca,76001,Cali,2010,11.58156912,6.877012307,70.19966336,20.75137142,7.01930085,,62.24359881,9.704342906,,99.75358748
19,Cauca,19001,Popayán,2005.0,10.86206897,4.896600567,138.5703064,15.61628555,6.612148171,,42.49291785,13.17280453,41.52895531,99.2967033
47, MAGDALENA ,47001,Santa Marta,2005.0,7.026798903,5.745176595,83.09740227,10.53619862,4.417386448,24.24881392,126.5155509,17.18502899,47.53405851,99.48314849
